code,url,file ext,dominant colour,dominant colour name,closest name,dominant shade,top left pixel,top left pixel color,height,width,transparent
T420,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t420_tn.jpg,jpg,"(6, 6, 6)",black,black,mostly black,"(0, 0, 0)",black,163,170,False
T711,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t712_tn.jpg,jpg,"(196, 188, 181)",white,silver,mostly black,"(0, 1, 2)",black,131,170,False
T715,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t715-2_tn.jpg,jpg,"(141, 143, 140)",white,grey,mostly white,"(135, 137, 134)",white,77,170,False
T716,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t716_tn.jpg,jpg,"(199, 131, 117)",red green,rosybrown,mostly black,"(1, 1, 1)",black,72,170,False
T724-13,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t724_tn.jpg,jpg,"(5, 5, 5)",black,black,mostly black,"(0, 0, 0)",black,170,156,False
T727,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t727_tn.jpg,jpg,"(5, 5, 5)",black,black,mostly black,"(5, 5, 5)",black,95,170,False
T728-13,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t728_tn.jpg,jpg,"(5, 5, 5)",black,black,mostly black,"(0, 0, 0)",black,106,170,False
TBB-A,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/TBB-A_tn.jpg,jpg,"(6, 6, 7)",black,black,mostly black,"(0, 0, 0)",black,170,109,False
TBS-W127,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tbs-w127_tn.jpg,jpg,"(6, 6, 6)",black,black,mostly black,"(0, 0, 0)",black,169,170,False
SSS-060,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sss_tn.jpg,jpg,"(8, 8, 9)",black,black,mostly black,"(0, 0, 0)",black,152,170,False
VCCD-063,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/vccd_tn.jpg,jpg,"(8, 9, 9)",black,black,mostly black,"(0, 0, 0)",black,169,87,False
VCWD-063,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/vcwd_tn.jpg,jpg,"(12, 12, 11)",black,black,mostly black,"(0, 0, 0)",black,169,89,False
E122-200,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e122_tn.jpg,jpg,"(213, 213, 222)",white,gainsboro,mostly white,"(41, 95, 159)",blue,170,138,False
E125-197,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e125_tn.jpg,jpg,"(199, 189, 183)",white,silver,mostly black,"(0, 0, 0)",black,170,152,False
